Spec_File,OptUV_Radius_cm,OptUV_Temperature_K,OptUV_ChiSquare,SoftX_Radius_cm,SoftX_Temperature_K,SoftX_ChiSquare
0178,546755847460193.56,46797.76678721456,8.626339237033954e+40,3288990606564.976,668889.877234506,1.869745379260877e+43
0179,778805304410367.5,45535.93517173839,2.0973055432224342e+41,1336566408625.6714,625115.1960956908,4.4404404312890885e+42
0180,564625251267719.1,43113.424743658674,9.641886420958573e+40,2800453276219.6113,668889.877234506,1.285014191543447e+43
0181,546755847460193.56,43113.424743658674,2.8487085988169497e+40,2891979376341.5117,691913.6638317006,2.362907372917712e+43
0182,583078673689622.1,43113.424743658674,7.54442149236476e+40,3622123169553.179,604314.1632126757,5.738848439722763e+42
0183,778805304410367.5,43113.424743658674,2.8942417445550315e+40,1569729586402.6428,715729.9497136263,2.2407062775588406e+42
0184,684796385263151.5,43113.424743658674,1.163753846533127e+41,2891979376341.5117,625115.1960956908,7.942256240875667e+42
0185,754157475712119.9,44308.126953854226,5.748213720900013e+40,2309017203911.472,668889.877234506,5.134929753104216e+41
0186,804258688286553.2,41950.93588729162,1.4263221417631044e+41,1569729586402.6428,765850.0724140495,1.121497985741163e+42
0187,778805304410367.5,44308.126953854226,3.064789108324478e+40,968995896705.6782,646632.2190966592,5.128273109589426e+42
0188,754157475712119.9,44308.126953854226,1.279920503922859e+41,1102019754406.6584,792211.3154718872,3.91244924714593e+42
0189,754157475712119.9,44308.126953854226,1.3233352769493098e+41,908632396613.3987,625115.1960956908,1.1792204430927323e+43
0190,754157475712119.9,44308.126953854226,8.758347338042022e+40,1380248876736.9033,740366.0134130177,2.2490925792180022e+42
0191,663123774789698.0,45535.93517173839,1.6220265418241938e+41,2800453276219.6113,668889.877234506,5.320628854299908e+42
0192,663123774789698.0,44308.126953854226,7.336779782666792e+40,2711823817433.4067,715729.9497136263,1.8829505318837048e+42
0193,778805304410367.5,44308.126953854226,1.617937467227729e+41,1067142752446.2457,668889.877234506,2.5919283487681836e+42
0194,778805304410367.5,43113.424743658674,8.883706640965464e+40,1253305141158.283,819479.9360447068,1.4533832880043476e+42
0195,684796385263151.5,44308.126953854226,7.314428184768391e+40,1843567935364.6787,715729.9497136263,1.9727822238625226e+42
0196,529451979097141.0,44308.126953854226,7.012968774076093e+39,4996108004985.691,545972.6933965883,2.0236028788714164e+42
0197,564625251267719.1,45535.93517173839,5.728150221231706e+40,2891979376341.5117,668889.877234506,5.968128860072319e+42
0198,754157475712119.9,43113.424743658674,1.1283824091118912e+41,879875767023.7208,646632.2190966592,9.384186313625435e+41
0199,754157475712119.9,44308.126953854226,9.773878967517004e+40,1380248876736.9033,493263.6037355609,1.0665688406611105e+42
0200,754157475712119.9,45535.93517173839,1.680816272722424e+40,8913233943034.248,317697.9300964932,2.1226278586841564e+41
0201,621814547189458.4,45535.93517173839,1.2978272732494253e+41,2711823817433.4067,715729.9497136263,2.93353881351226e+42
0202,754157475712119.9,43113.424743658674,1.877874246683531e+41,798952160713.5629,691913.6638317006,1.7313172032671227e+42
0203,730289707776296.1,44308.126953854226,1.091764816049975e+41,11163575869463.494,317697.9300964932,6.28650626266786e+41
0204,663123774789698.0,44308.126953854226,5.581350293981354e+40,2235940839149.9287,715729.9497136263,4.68270400146204e+42
0205,707177313041143.1,45535.93517173839,1.136734138080425e+41,938328867685.6477,691913.6638317006,7.428620312290858e+42
0206,754157475712119.9,43113.424743658674,1.158339396789213e+41,1033369546729.8458,819479.9360447068,7.176812256145872e+41
0207,602135201973896.6,43113.424743658674,7.21863067258211e+40,2462412967391.7036,715729.9497136263,1.2872883876503372e+43
0208,684796385263151.5,45535.93517173839,1.021671089532605e+41,852029234573.9205,668889.877234506,3.864341928906968e+42
0209,730289707776296.1,44308.126953854226,5.017558100665889e+40,35531234964813.4,259316.8180365392,7.963353493019893e+39
0210,512695747968727.56,45535.93517173839,3.268129856451267e+40,3084103273751.8486,625115.1960956908,1.2410600155958506e+43
0211,684796385263151.5,44308.126953854226,1.2104709687653918e+41,1138036627544.5293,510242.17724234634,1.0791105649764069e+43
0212,663123774789698.0,45535.93517173839,7.70756227936314e+40,773666719174.0092,970565.2607883513,1.889932240171656e+42
